评论人,时间,内容
huihuigege,2018-02-10,#无问西东 #goodmovie #film #foreveryoung. 这个世界缺的不是完美的人，而是从心底给出的真心，正义，无畏与同情。 （一部很感人的电影，和老周赶上了小尾巴，到后面的一个小时一直在哭，还是号啕大哭的那种，哭的我气都缓不过来，做人要真实，真实的活着，为自己心里的善念存在的，无论是抗战时期的英勇献身的烈士，还是在文革时期背离家乡孤身走向荒漠的核研人员，又或者是近代时期的张总，他们都从内心深处思考过自己想要什么，感谢无问西东，看到和听到的，经常会令你们沮丧，世俗是这样强大，强大到生不出改变它们的念头来。可是如果有机会提前了解了你们的人生，知道青春也不过只有这些日子，不知你们是否还会在意那些世俗希望你们在意的事情。 愿你在被打击时，记起你的珍贵，抵抗恶意；愿你在迷茫时，坚信你的珍贵，爱你所爱，行你所行，听从你心，无问西东。
wuxilinjiayun,2018-02-09,Good movie #无问西东
littleprincess1874,2018-02-09,"Dont u think im focusing on my drishti, im only daydreaming. #nothingness #justtootired #我的神在哪儿 #无神 #无问西东"
liuxun1996,2018-02-09,#无问西东 听从你心 无问西东
baobaoo_lei,2018-02-09,爱你所爱 行你所行 听从你心 #无问西东#pmo#peaceminusone #🖤
lorrainehyy_,2018-02-08,愿你在被打击时 记起你的珍贵 抵抗恶意 愿你在迷茫时 坚信你的珍贵 爱你所爱 行你所行 听从你心 #无问西东
yesfive,2018-02-07,二刷~#无问西东
k.r.i.s.t.e.n_han,2018-02-07,一不小心包个场 还好不是恐怖片 #成都 #chengdu #movie #foreveryoung #无问西东
sandra_liyunlu,2018-02-07,#无问西东
oldoldpan,2018-02-07,无问西东 我觉得系一部比较惨既电影电影#movie #无问西东
yummyuyu,2018-02-06,爱我所爱 向我所向 无问西东 #无问西东 #photography #portrait #art #artist #dreams
li__yu__xuan,2018-02-06,#无问西东
buding1029,2018-02-05,#无问西东#多少的斗争、坚持、牺牲，才能有今天的生活，学会珍惜。这个世界真心、正义、无畏、同情。如果提前了解了你们的人生你们是否还会愿意来。来。忘记世俗眼光，也学会爱自己。无问西东，问问真心～
mis4tina_a,2018-02-05,一部诚意满满之作..坚定自己的信仰，做真实的自己。愿你在被打击时，记起你的珍贵，抵抗恶意；愿你在迷茫时，坚信你的珍贵；行吾所行，爱吾所爱，听从你心，无问西东。#无问西东
korstlewis,2018-02-05,#오랜만에 #중국영화 #혼영🎬 #사람없음 #광둥어 나오면 멘탈은 박살이납니다. #最新 #电影 #无问西东 #一个人看电影 #好看 #北京#望京#奥兰环球影城
__g_one,2018-02-05,#遵从你心 #无问西东 . . . . . #패션스타그램 #일상스타그램 #머리스타일 #네일 #댄스 #새벽 #힐링 #천년약속 #발효주 #사케 #도시 #마사지 #body #care #night #weareone #fullmoon #itaewon #coffeetime #hannam #ootd #photooftheday #lucky #shallwedance #milktea #goodnight #midnight
angelalalala_lol,2018-02-05,#无问西东 #二刷 #家与西东
_uniquevv,2018-02-05,半夜睡不着一个乱七八糟的 #无问西东 的观后感🌙
hojitaa,2018-02-05,威廉是个让人想重读本科的学校 诶你萌都太可爱了 太可爱了 想哈北❤️纽约见 #和你们已经是我素颜能见的交情了 #williamscollege #王力宏 #无问西东 #fireplaceinthelibrary!?#sweetpeople
mariene666,2018-02-05,愿我在被打击时，记起我的珍贵，抵抗恶意； 愿我在迷茫时，坚信我的珍贵，爱我所爱，行我所行，听从我心，无问西东。 #无问西东
rilke___,2018-02-04,"forever young The film is awesome.I was moved by the characters' sincere，justice，brave ,sympathy.follow what you believe and just do it!"
emmafang510,2018-02-04,* #foreveryoung #无问西东 昨天去看了《无问西东》，“所见是否为真，所听是否为实，所传是否为真相”。 中国近代史一百余年，屈辱，残酷，却也惊心动魄。李芳芳的文字和镜头让人哭得稀里哗啦爱得彻头彻尾，西南联大啊，是精神的神殿之一……
bingbling_sun,2018-02-04,请由我引吭高歌 面迎啊海上风 #无问西东
dzlheavenknows,2018-02-04,世界很美好，世道很艰难，无问西东。 #无问西东
violetll23,2018-02-04,爱你所爱，行你所行，听从你心，无问西东… #青春不过也只有这些日子 #无问西东 #祝我生日快樂
f_olivia_0707,2018-02-04,DAY 2:#无问西东# Wuli籽妗宝宝强烈推荐去看的，昨天晚上拉着大猪去看了。感觉剪辑有点儿乱，但内容挺深奥的，哇，王力宏跟张震是真的很帅啊，子怡好美的😍
mengshan.chen,2018-02-04,#无问西东 王力宏真的从骨子里透出来的帅…
sugarbabybb,2018-02-03,看到和听到的，经常会令你们沮丧，世俗是这样强大，强大到生不出改变它们的念头来。可是如果有机会提前了解了你们的人生，知道青春也不过只有这些日子，不知你们是否还会在意那些世俗希望你们在意的事情，比如占有多少，才更荣耀，拥有什么，才能被爱。 等你们长大，你们因绿芽冒出土地而喜悦，会对初升的朝阳欢呼跳跃，也会给别人善意和温暖，但是却会在赞美别的生命的同时，常常、甚至永远地忘了自己的珍贵。愿你在被打击时，记起你的珍贵，抵抗恶意;愿你在迷茫时，坚信你的珍贵，爱你所爱，行你所行，听从你心，#无问西东
guyv_linda,2018-02-03,#无问西东
shi_yandan,2018-02-03,赶在下映前去看了这部电影。 泪水流的啊…… 1、世界很美好，世道很艰难。 2、如果提前了解了你所要面对的人生，你是否还会有勇气前来？ 3、愿你在被打击时，记起你的珍贵，抵抗恶意;在迷茫时，坚信你的珍贵。爱你所爱，行你所行，听从你心，无问西东。 4、这个时代缺的不是完美的人，缺的是从心里给出的真心、正义、无畏和同情。 5、把自己交给繁忙，得到的是踏实，却不是真实。 6、一生太短 一瞬好长，我们哭着醒来 又哭着遗忘。 7、希望你们在今后的岁月里，不要放弃对生命的思索，对自己的真实。 8、无问西东，只问自由，只问盛放，只问深情，只问初心，只问敢勇，不问西东。 9、不知道自己想要什么，但一定要知道自己不要什么。 10、我只知道啊，在这个年纪读书、学习都是对的。我何用管我学什么，每天把自己交给书本就有种踏实。 11、什么是真实：你看到什么，听到什么，做什么和谁在一起，有一种从心灵深处漫溢出的不懊悔也不羞耻的平和与喜悦。#无问西东 #foreveryoung
susize_xie,2018-02-03,回头有一路故事，低头有坚定的脚步，抬头有清晰的远方… #无问西东 #土耳其 #土耳其餐厅 #淮海路
tang_candy,2018-02-03,1. 没有哪一代人的青春是容易的，有时更需要义无返顾。 2. 每个时代都有自己的疼痛，既然无可避免，至少请做一个善良的人。 3. 陈凯歌还没从 无极 里走出来，可惜一手好牌。 #无问西东 #芳华 #妖猫传
danver.ng,2018-02-02,愿你在被打击时，记起你的珍贵，抵抗恶意； 愿你在迷茫时，坚信你的珍贵，爱你所爱，行你所行，听从你心，无问西东。 #无问西东
shbbxabcdefg12345678,2018-02-02,#music #王菲 #无问西东
moll_yuen,2018-02-02,#无问西东 ⭐️⭐️⭐️⭐️⭐️
lenardwangj,2018-02-02,一声早安 一句晚安 已是足以 #无问西东
jadey_h.er,2018-01-21,#今日最佳 #无问西东
buyanzaya1063,2018-02-01,爱你所爱，行你所行，听从你心，无问西东！ #无问西东
glittering_ying,2018-02-01,如果提前了解了你要面对的人生，你是否还会有勇气前来。 #爱你所爱 #行你所行 #听从你心 #无问西东 #feb
writing_with_me,2018-02-01,. . . Day 299 #CHLOE之一百天电影台词计划❤️ . #电影台词 #无问西东 #手写的温度 #书写的力量 #handwritinglicious
yuhui9712,2018-02-01,"Four stories, four struggles It's not the best movie, but it can make people think about a problem again. What I like most is the first two stories, one said the truth, the other said the compromise. Guangyao Shen could not have disliked the quiet and happy life, he could have chosen such a life too, but that environment had made his great heart unable to be calm and forced to compromise. In the final analysis, the truth in his heart made him choose such a compromise. In our lifes, we can't get rid of the influence of time and country. How do we live in a big environment that can not be changed? Love this time and Keep it real. Don't ask me the way here. Don't ask me the way back. #Foreveryoung #无问西东 #cinecism #thoughts #chinesemovie"
tikia_22,2018-01-31,爱你所爱，行你所行#无问西东
t121_3121,2018-01-31,May you always remember how precious you are. #无问西东
chancyyyyy,2018-01-30,“你看到什么，听到什么，做什么，和谁在一起，如果有一种从心灵深处满溢出来的，不懊悔也不羞耻的，平和与喜悦，那就是真实。” 吴岭澜去问校长什么是真实的那一段，给了我最深刻的情感触动，原来有这么多伟大的文人学者，在他们青年时也曾经困惑于这些问题，这就像走在孤独寒冷的夜路上，终于发现有人临近作伴，虽道阻且长，但忽然心安。 还有太多感触不知从何说起，这部片子可以排进我的前十了 #foreveryoung #无问西东
0054zzz,2018-01-30,#无问西东
bingotea,2018-01-30,爱你所爱，行你所行，听从你心，无问西东 ​。#无问西东
_09_02_wy,2018-01-30,去影院看完 #无问西东 我只想去买力宏同款草帽
abao3000,2018-01-30,#无问西东#好看
ich_yakira,2018-01-30,#无问西东
5267_summer,2018-01-30,那些人站在那里，自信而笃定，那种从容让我十分羡慕，而泰戈尔正在讲对自己的真实有多么重要，那一刻我从思索生命意义的羞耻感中释放出来，原来这些卓越的人物也会花时间思考这些，他们也觉得这些是重要的。 那个时代对于知识的崇敬和憧憬，现而今却由于泛滥而变得不那么珍贵了。屋里漏着雨打湿整个肩膀的先生，在校园里奔跑的求知少年，为了想明白人生的真谛郁郁寡欢的身影…… 这个世界缺的不是完美的人，而是从心底给出的真心，正义，无畏与同情。把自己交给繁忙，得到的是踏实，却不是真实。 什么是真实，做什么和谁在一起，你看到什么听到什么，有一种从心灵深处满溢出来的不懊悔也不羞耻的平和与喜悦。 愿你在被打击时，记起你的珍贵，抵抗恶意，愿你在迷茫时，坚信你的珍贵，爱你所爱，行你所行，听从你心，无问西东。 看到最后终于明白为什么#无问西东 的英文翻译是#forever Young 向死而生，要勇敢，要永远年轻
huyao_hy,2018-01-30,#无问西东
xjtommy,2018-01-29,"너는 뭘 보고 ,뭘 들고, 뭘 하고, 누구랑 같이 있다. 마음 속에서 넘쳐오고, 후회하지 않고 , 부끄럽지 않은 평화와 기쁨이 있다. 好想进电影院看看这部电影啊。。当年的西南联大真的是一个传奇般的存在，文人风骨，大师辈出。 爱你所爱，行你所行，听从你心#无问西东"
hopetodayisfriday,2018-01-29,#无问西东
jhq_qqa,2018-01-29,#无问西东 看戏✌🏻
sally_yekong,2018-01-29,#无问西东 Nice movie.
csonchow0111,2018-01-29,#新一城 #无问西东
chisanmingzhidejunqiao,2018-01-29,#无问西东 愿你被打击时 记起你的珍贵 抵抗恶意 愿你在迷茫时 坚信你的珍贵
writing_with_me,2018-01-29,. . . Day 296 #CHLOE之一百天电影台词计划❤️ . #电影台词 #无问西东 #手写的温度 #书写的力量 #handwritinglicious
joonghua,2018-01-29,#无问西东 #昆山 #선택 #清华大学 #추천영화 감정이입이 잘되 몰입도 최고!! 런닝타임 2시간 훌쩍넘김에도 시간은 금방. #엄청큰사이다 和 #tina #Kathy
shinychloe,2018-01-29,但行好事，莫问前程 #无问西东
zhengnan_xu,2018-01-29,被深深打动了，在大时代中能做到无问西东，只有敬佩！！！ #无问西东
huamrsttt,2018-01-28,#无问西东 好看
